,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports (current US$),Insurance and financial services (% of commercial service exports),"Computer, communications and other services (% of commercial service imports)","Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Manufactures imports (% of merchandise imports),Food imports (% of merchandise imports),Urban population growth (annual %),"Population, female (% of total population)",Age dependency ratio (% of working-age population),"Population ages 75-79, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female (% of female population)","Population ages 60-64, male (% of male population)","Population ages 50-54, male (% of male population)","Population ages 40-44, male (% of male population)","Population ages 30-34, male (% of male population)"
2000,14.5545482829321,0.25392484724857,95269144911.6403,5.75643300807353,30.5265712368967,0.039516340052597,1.99929373202621,66.0837333852911,65.9909186525403,12.5022859910576,4.01779930972802,50.5303793218987,91.6838560986419,0.448432808176672,2.99962087539673,3.30143636922136,1.55970109765837,2.56977404385628,3.98514234110877,6.02708441342192
2001,14.0647526524904,0.0828894190168305,90594076312.0366,5.28409858316742,32.0473817847521,0.046968965588267,2.64230885878707,65.8151166737391,65.7780342407293,13.2232411158089,4.08593875940925,50.514954545182,91.3355631823261,0.448115883508865,2.99533880004803,3.3010727604521,1.55637908130801,2.56086837120539,4.00264225086839,6.05403112887045
2002,15.8833099019467,0.239402976963503,96597243562.5631,3.84407886646329,32.6030566421783,0.0391767849021334,2.33130665743499,64.7739428918673,67.6702224902644,13.3714477766762,4.12394121925512,50.4957995721951,91.0170150097702,0.448762593243236,2.99131753036429,3.30061717811211,1.55351507376391,2.55386515264741,4.01829596873736,6.07970714581777
2003,18.8334848149448,0.257466342603671,118193720941.578,3.70513592393358,29.1138230402679,0.0173888431499652,2.56481488554295,61.5099777937357,66.1531501519375,13.4655535389835,4.16041135960646,50.4724218774515,90.7200332587918,0.450363179523684,2.9870502181509,3.29936557112003,1.55125188061673,2.5535092038637,4.0280697689089,6.1021997007456
2004,20.2714107393708,0.640484356756491,159901262402.107,4.45562383897866,27.3804433984729,0.0586619436707409,2.89558579269693,60.1900080535135,66.5239300552935,12.0713168206154,4.21069653617261,50.4493137338922,90.451396359082,0.452307602737469,2.98189620123295,3.29656546556703,1.55025746596083,2.55704980393002,4.0324382369795,6.12158252065721
2005,19.2368809151118,0.621251166862859,200621553612.633,6.09118102972971,30.027053250723,0.0477059584914701,2.88402937729978,59.0296196097101,66.0361377040084,10.644025832301,4.20635616422953,50.4284356102504,90.2395607810025,0.454228024428069,2.97631065154673,3.29245223150669,1.55063604982097,2.56084980316126,4.03496036074584,6.14165471138289
2006,18.547844808949,0.656188915547878,236657700378.561,5.32000391720272,29.9745460553521,0.108670003752046,3.06543507725576,59.3457886587202,65.1615799432783,11.6842670655686,4.19400724775543,50.4082094047741,90.0761909415633,0.455450342158629,2.97020418075862,3.28699665646486,1.55182741019872,2.56601550973021,4.0377640246834,6.163823546458
2007,18.9729356805094,0.6077531581127,282450380514.023,5.68238169237402,29.1179117946988,0.123622422809498,3.35279925579042,57.829629447423,67.2335196923078,12.1917395594211,4.02433523461677,50.3881594977399,89.9063752908252,0.455454054380936,2.9639814998079,3.28089399177204,1.55324949069736,2.57210141650986,4.04405394575608,6.18968974886619
2008,18.5486099169166,0.669067966680755,358492852017.544,4.82166109875711,27.3969278724781,0.180649913303123,3.72957071160091,55.5476802741963,65.468974082776,11.3047216275763,4.2011496738183,50.3671805608884,89.6602099537148,0.454188549040203,2.95809488129752,3.27447142582892,1.55099840678176,2.58184127872724,4.05741899058595,6.22695099361393
2009,21.38048434413,0.56956955436851,264867443477.205,5.18843530075656,32.2564511460233,0.0712085664025791,3.01123204687726,53.8181259156343,68.4325964302651,12.2140843598524,4.02410588949625,50.3486097323261,89.3636645057265,0.451602083060699,2.9528279942881,3.26816063302522,1.54689385479465,2.59474261247501,4.07717867399632,6.27555129401829
2010,22.7206755992402,0.580286023108705,358761093658.505,5.18645049485048,32.7696839709045,0.0017452730003412,2.62966738572403,54.1883144478882,67.7921877772419,11.8346611519621,3.94385406343341,50.3303013017066,89.0363052187841,0.448112344358085,2.95049373789661,3.26499187433629,1.54428233469525,2.60928754017649,4.10097618141996,6.32641051416427
2011,23.2892025377273,0.614970356567074,458687155479.759,4.89741092700502,33.6911335072992,0.0030265240697183,2.71271748907694,53.1094026757117,62.4895702828449,14.9221902880685,3.91568702684343,50.3083071520557,88.6400497596348,0.444804934478265,2.95181570687034,3.26596254905575,1.5427234619,2.62561278917949,4.12803096554293,6.37886505470913
2012,23.6496998396479,0.653973718828163,444988680100.764,6.02770333811669,32.4816413980799,0.0371912395375996,2.98796588420907,52.3861228574901,64.3895086818443,13.7198597744296,3.88990963011339,50.2871335445601,88.2342183359317,0.442467589655942,2.956651843586,3.27070001275842,1.54485031142123,2.64382673382215,4.1569230953631,6.4314120199548
2013,24.2157894490942,0.649053032296093,418806884144.873,4.81891563153051,33.8843013223665,0.0113402441320018,2.4043208537181,52.1421765982455,63.0190687821056,12.5201951837112,3.92779708922539,50.2656382016131,87.8020005689926,0.441209702372932,2.96262802989035,3.27739633891245,1.55336936940077,2.66175802319969,4.18570423360966,6.47820265837536
2014,24.768376342346,0.679503866530481,421477199427.822,5.47922013983646,35.5714113636082,0.0037929065115709,2.25174406599805,51.9356915696944,62.5405362626168,12.5724208050077,3.93829381686391,50.246039868541,87.3267476837606,0.440870140160597,2.96803845089941,3.28434421758822,1.56349017658637,2.67587634126376,4.21312206960911,6.51327804790233
2015,27.1366534159164,0.726862304941645,298993629085.313,7.27764652355132,34.7781373225715,0.0060594790776883,2.20849540608003,50.7373595593202,65.4939691970063,12.1844891412046,3.91346227013469,50.224897270571,86.7774988003347,0.44147703937348,2.97582733930201,3.29496004949006,1.57306945137032,2.68850493262094,4.24341786918459,6.54315137823148
2016,26.1884617146734,0.732792285189656,266389160154.686,7.37133624663387,37.1791257917289,0.013018398118882,2.53440097510417,49.8701508695453,64.9149913218261,13.5793517558596,3.81532583909235,50.2115502828976,86.1414578601448,0.442969743119081,2.98714883064188,3.30988839306819,1.58406173768085,2.70244503195983,4.27761466382845,6.56740722162646
2017,23.45320050501,0.749223912450207,313775155300.367,7.00813494331986,36.9721910220244,0.0102213327256208,2.50865738073101,50.6603892639671,63.0921982431194,14.3548385382489,3.79819894172747,50.2037420492188,85.4052686799716,0.444945937886268,3.00365982946056,3.33032791816691,1.5983384333128,2.72218338744805,4.31797624469139,6.58147882556341
2018,22.9617129757112,0.795428671586825,366459427068.637,9.20820903297686,37.7355844298631,0.0105697659355459,2.13931226304912,48.5677305375578,62.267498635463,13.305396579792,3.82705205273941,50.1917082317459,84.5730793191002,0.447482786035779,3.02786863945004,3.35949750181707,1.61734635519868,2.74944475944684,4.36966715422979,6.59047532926762
2019,23.3496016818823,0.713840648938083,340922016107.385,8.20164963574529,37.7331138360158,0.0017428121658428,2.09205908413032,49.3107373585239,64.8907327670079,12.5888141642385,3.69293733556113,50.1824318178936,83.7205967449088,0.450557807585036,3.05670328760275,3.39375671786742,1.63788602045392,2.77993242866587,4.4289952613613,6.59692107905041
2020,22.7024875786594,1.26997130214528,296109548065.738,12.5781502735466,43.9298395394779,0.0013099682806727,2.32324606491538,45.7333737575286,64.7223688554291,14.9947516337287,3.67014454182449,50.1753529922605,82.7998548126026,0.452373075766455,3.08026110316697,3.42482755821903,1.65597209767745,2.81144399088405,4.48989570003164,6.60627313720987
2021,20.9891905507986,0.946094241752671,394505282765.29,12.5521638120687,40.1083256470681,0.0010803229740653,2.28168090014058,46.2781585043611,61.737573778935,14.7542637758557,3.66985500831342,50.1689990322461,81.8401403523976,0.452988001445266,3.09799967539511,3.44938591730599,1.67230448650338,2.84217698773139,4.54771853587125,6.6183292841681
2022,21.7965079374422,0.980198083888611,442986050262.529,10.2907740638567,34.2852427948866,0.000743895061377,2.39692999858905,48.620689460064,57.9408263944408,12.988340086084,3.66853005255171,50.1626672619458,80.8967338002141,0.455425947548975,3.12216216664316,3.47883786357211,1.68835743778588,2.87133240689629,4.59925736368139,6.63459414698687
2023,20.6658188531088,1.51848169292278,421614567743.407,12.2037825417091,37.6496962582469,0.0004730235996691,2.11507093536849,48.4484797357633,58.5634672739439,12.1761458666779,3.58009987506427,50.1566802754943,79.9378713947723,0.459022553808245,3.15528155039185,3.51887360668736,1.70303508844962,2.89932921945638,4.64378247767042,6.65756769798398
